sync measurement test passed!
measurement test without zero_debias done in  0.00330639123917  s/iter!
sync measurement test passed!
measurement test with zero_debias done in  0.0033559012413  s/iter!
lr  0.999000000051 0.999000000051  mu  0.000997986053372 0.000997986053372
lr  0.998001000091 0.998001000091  mu  0.00199479592401 0.00199479592401
lr  0.997002999123 0.997002999123  mu  0.00299052258886 0.00299052258883
lr  0.996005996151 0.996005996151  mu  0.00398520966839 0.00398520966848
lr  0.995009990178 0.995009990178  mu  0.00497888063426 0.00497888063353
lr  0.994014980208 0.994014980208  mu  0.00597154934798 0.0059715493473
lr  0.993020965245 0.993020965245  mu  0.00696322458485 0.0069632245838
lr  0.992027944295 0.992027944295  mu  0.00795391221947 0.00795391221857
lr  0.991035916365 0.991035916365  mu  0.0089436163776 0.00894361637669
lr  0.990044880461 0.990044880461  mu  0.00993234008417 0.00993234008342
lr  0.989054835591 0.989054835591  mu  0.0109200856501 0.01092008565
lr  0.988065780766 0.988065780766  mu  0.0119068549067 0.0119068549049
lr  0.987077714995 0.987077714995  mu  0.0128926493601 0.012892649358
lr  0.986090637289 0.986090637289  mu  0.0138774702895 0.0138774702872
lr  0.98510454666 0.98510454666  mu  0.0148613188159 0.0148613188141
lr  0.984119442121 0.984119442121  mu  0.0158441959478 0.0158441959458
lr  0.983135322685 0.983135322685  mu  0.0168261026146 0.0168261026126
lr  0.982152187369 0.982152187369  mu  0.0178070396878 0.0178070396855
lr  0.981170035188 0.981170035188  mu  0.018787007999 0.0187870079957
lr  0.980188865159 0.980188865159  mu  0.0197658005347 0.0197658005326
lr  0.979208676301 0.979208676301  mu  0.0207431451093 0.0207431451083
lr  0.978229467631 0.978229467631  mu  0.0217187661028 0.0217187661007
lr  0.977251238171 0.977251238171  mu  0.0226924163706 0.0226924163704
lr  0.97627398694 0.97627398694  mu  0.0236638825837 0.0236638825852
lr  0.975297712962 0.975297712962  mu  0.0246329806784 0.0246329806802
lr  0.974322415257 0.974322415257  mu  0.0255995501308 0.0255995501369
lr  0.973348092851 0.973348092851  mu  0.0265634493085 0.0265634493175
lr  0.972374744768 0.972374744768  mu  0.027524552017 0.0275245520139
lr  0.971402370033 0.971402370033  mu  0.0284827449456 0.0284827449551
lr  0.970430967673 0.970430967673  mu  0.0294379257401 0.0294379257336
lr  0.969460536716 0.969460536716  mu  0.0303900015091 0.0303900014957
lr  0.96849107619 0.96849107619  mu  0.031338887636 0.0313388876167
